imdb_score,imdb_votes,imdb_votes_log1p,runtime,duration_minutes,release_year,desc_len,num_genres,is_show,is_classic,title,type,is_high,age_G,age_NC-17,age_PG,age_PG-13,age_R,age_TV-14,age_TV-G,age_TV-MA,age_TV-PG,age_TV-Y,age_TV-Y7,age_Unknown,ctry_Canada,ctry_France,ctry_India,ctry_Japan,ctry_Mexico,ctry_Nigeria,ctry_Other,ctry_Philippines,ctry_South Korea,ctry_Spain,ctry_United Kingdom,ctry_United States,ctry_Unknown
8.199999999999998,530877.0,13.182287518647405,91,92.0,1975,415,3,0,1,Monty Python and the Holy Grail,MOVIE,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
7.8,94121.0,11.452347092084295,170,173.0,1964,121,2,0,1,My Fair Lady,MOVIE,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
5.8,69053.0,11.142644086196546,104,105.0,1980,347,2,0,1,The Blue Lagoon,MOVIE,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7.7,111189.0,11.618995728697294,110,111.0,1967,190,3,0,1,Bonnie and Clyde,MOVIE,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7.5,50150.0,10.82279373337074,158,156.0,1961,215,2,0,1,The Guns of Navarone,MOVIE,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
8.1,5141.0,8.545197387825835,78,79.0,1979,144,1,0,1,Richard Pryor: Live in Concert,MOVIE,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6.9,11329.0,9.335209354022052,99,100.0,1980,193,1,0,1,The Long Riders,MOVIE,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7.5,42373.0,10.654290245584235,115,120.0,1954,221,3,0,1,White Christmas,MOVIE,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
7.5,4385.0,8.386172928977834,77,73.0,1958,429,3,0,1,Cairo Station,MOVIE,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
6.2,411.0,6.021023349349527,97,104.0,1972,446,1,0,1,FTA,MOVIE,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6.4,82.0,4.418840607796598,158,158.0,1960,134,3,0,1,Singapore,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
6.7,590.0,6.3818160174060985,120,104.0,1956,210,3,0,1,Dark Waters,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
9.0,943.0,6.8501261661455,235,237.0,1979,348,3,0,1,No Longer Kids,MOVIE,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
6.7,225.0,5.420534999272286,120,116.0,1966,185,3,0,1,Amrapali,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
7.4,1219.0,7.106606137727303,100,116.0,1954,228,3,0,1,The Blazing Sun,MOVIE,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
8.1,2144.0,7.670894831362117,43,43.0,1972,389,2,1,1,Monty Python's Fliegender Zirkus,SHOW,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6.9,168.0,5.1298987149230735,152,152.0,1969,150,3,0,1,Prince,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
6.5,236.0,5.468060141135132,162,162.0,1974,898,3,0,1,Manoranjan,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
6.2,43.0,3.784189633918261,74,74.0,1979,135,2,0,1,We Are All for the Fatherland,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
7.8,75.0,4.330733340286331,93,93.0,1980,177,2,0,1,Whispers,MOVIE,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
6.2,137.0,4.927253685157205,153,153.0,1971,631,3,0,1,Lal Patthar,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
6.7,78.0,4.3694478524670215,142,143.0,1959,148,2,0,1,Ujala,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
6.8,285.0,5.655991810819852,163,163.0,1962,212,3,0,1,Professor,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
4.6,14.0,2.70805020110221,135,135.0,1976,196,3,0,1,Chadi Jawani Budhe Nu,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
4.2,35.0,3.58351893845611,141,141.0,1978,834,3,0,1,Bandie,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
5.1,41.0,3.737669618283368,131,132.0,1973,148,2,0,1,Khoon Khoon,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
8.3,342335.0,12.743547989890924,229,229.0,1984,183,2,0,1,Once Upon a Time in America,MOVIE,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
7.2,1242.0,7.125283091510712,133,133.0,1981,395,3,0,1,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
7.3,1649.0,7.408530566894626,120,120.0,1988,386,3,0,1,Mobile Suit Gundam: Char's Counterattack,MOVIE,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
7.2,651.0,6.480044561926653,50,50.0,1987,192,1,0,1,Sam Kinison: Breaking the Rules,MOVIE,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6.0,353.0,5.869296913133774,30,30.0,1990,282,1,0,1,Tim Allen: Men Are Pigs,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
6.0,448.0,6.107022887742255,100,95.0,1990,91,1,0,1,Unspeakable Acts,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
7.7,1210.0,7.099201743553092,144,140.0,1982,222,3,0,1,Mobile Suit Gundam III: Encounters in Space,MOVIE,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
7.6,8902.0,9.094143577573671,174,174.0,1990,373,2,0,1,Agneepath,MOVIE,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
8.1,1522.0,7.328437352895162,72,72.0,1989,208,1,0,1,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
6.7,494.0,6.20455776256869,100,94.0,1988,116,1,0,1,Too Young The Hero,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
7.0,209.0,5.3471075307174685,100,96.0,1986,153,1,0,1,Adam: His Song Continues,MOVIE,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
6.5,1449.0,7.27931883541462,134,134.0,1982,197,3,0,1,Disco Dancer,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
7.2,857.0,6.754604099487962,102,94.0,1989,130,1,0,1,The Ryan White Story,MOVIE,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
5.6,200.0,5.303304908059076,94,94.0,1990,210,1,0,1,In Defense of a Married Man,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
6.6,5273.0,8.570544366913232,172,165.0,1990,522,3,0,1,Dil,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
7.1,144.0,4.976733742420574,100,93.0,1988,220,2,0,1,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
6.3,357.0,5.8805329864007,100,96.0,1987,89,1,0,1,Strange Voices,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
5.1,92.0,4.532599493153256,148,148.0,1988,306,2,0,1,Aakhri Adaalat,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
5.8,380.0,5.942799375126701,120,95.0,1988,89,1,0,1,A Stoning in Fulham County,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
4.8,68.0,4.23410650459726,172,172.0,1987,157,3,0,1,Muqaddar Ka Faisla,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
6.1,297.0,5.697093486505405,160,160.0,1984,601,3,0,1,Sohni Mahiwal,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
6.3,149.0,5.010635294096256,108,108.0,1982,150,3,0,1,The Little Wars,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
6.2,241.0,5.488937726156687,170,170.0,1984,968,3,0,1,Duniya,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
3.8,6.0,1.9459101490553128,50,50.0,1988,804,2,1,1,High Risk,SHOW,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6.1,65.0,4.189654742026425,153,153.0,1986,524,3,0,1,Pyar Ke Do Pal,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
5.2,122.0,4.812184355372417,159,162.0,1986,167,2,0,1,Jaal,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
5.4,188.0,5.241747015059643,162,163.0,1989,134,3,0,1,Mujrim,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
7.3,1113.0,7.01571242048723,129,129.0,1982,633,3,0,1,An Egyptian Story,MOVIE,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
6.3,70.0,4.262679877041316,151,151.0,1983,891,3,0,1,Ek Jaan Hain Hum,MOVIE,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
8.5,64727.0,11.077949153487676,24,24.0,1995,513,2,1,1,Neon Genesis Evangelion,SHOW,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
7.7,300073.0,12.611784389887784,127,127.0,1997,134,2,0,1,Donnie Brasco,MOVIE,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6.8,181306.0,12.107947006036204,136,138.0,1998,353,2,0,1,The Mask of Zorro,MOVIE,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6.0,75244.0,11.228504735220818,112,112.0,1993,427,2,0,1,Free Willy,MOVIE,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
